n,total number of extrapolation points,average condition number,BQPD success rate,DWNNLS success rate,OSQP success rate,ECOS success rate,SCS success rate
1000,169,308.82966382252044,1.0,0.30177514792899407,0.24852071005917165,1.0,0.0
5000,141,98.82150150334412,1.0,0.2978723404255319,0.04255319148936165,1.0,0.0
10000,123,93.40183386078904,1.0,0.2195121951219512,0.12195121951219512,0.975609756097561,0.0
15000,109,91.09471877095237,1.0,0.1651376146788991,0.17431192660550454,0.963302752293578,0.0
20000,99,91.23294450233968,1.0,0.1717171717171717,0.1515151515151515,0.898989898989899,0.0
